Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Risk
between 0 to 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,less than 100 DM,between 1 to 4 years,4,male : divorced/separated,none,2,"car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,24,critical account/other credits existing (not at this bank),education,5743,less than 100 DM,less than 1 year,2,female : divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,less than 100 DM,between 4 to 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,18,existing credits paid back duly till now,radio/television,3213,between 500 to 1000 DM,less than 1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,18,existing credits paid back duly till now,business,4439,less than 100 DM,more than 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
more than 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),3949,less than 100 DM,less than 1 year,1,male : single,gaurantor,1,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,2,none,yes,Good
no checking account,15,critical account/other credits existing (not at this bank),radio/television,1459,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,13,critical account/other credits existing (not at this bank),radio/television,882,less than 100 DM,less than 1 year,4,male : single,gaurantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,24,existing credits paid back duly till now,radio/television,3758,between 500 to 1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,Good
no checking account,6,delay in paying off in the past,business,1743,between 100 to 500 DM,between 1 to 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,9,critical account/other credits existing (not at this bank),education,1136,more than 1000 DM,more than 7 years,4,male : single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes,Bad
no checking account,9,existing credits paid back duly till now,domestic appliances,1236,less than 100 DM,less than 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,less than 100 DM,between 1 to 4 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,no,Bad
no checking account,18,critical account/other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male : single,none,4,unknown / no property,38,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
less than 0 DM,12,no credits taken/ all credits paid back duly,radio/television,6199,less than 100 DM,between 1 to 4 years,4,male : single,none,2,building society savings agreement/life insurance,28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,10,existing credits paid back duly till now,education,727,between 500 to 1000 DM,more than 7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,24,existing credits paid back duly till now,car (new),1246,less than 100 DM,less than 1 year,4,male : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,none,yes,Bad
no checking account,12,critical account/other credits existing (not at this bank),radio/television,2331,unknown/ no savings account,more than 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,36,delay in paying off in the past,radio/television,4463,less than 100 DM,between 1 to 4 years,4,male : single,none,2,"car or other, not in attribute 6",26,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
no checking account,12,existing credits paid back duly till now,radio/television,776,less than 100 DM,between 1 to 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,less than 100 DM,between 4 to 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,between 1 to 4 years,4,male : single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3399,unknown/ no savings account,more than 7 years,2,male : single,none,3,"car or other, not in attribute 6",37,none,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,less than 100 DM,between 1 to 4 years,1,male : married/widowed,none,2,building society savings agreement/life insurance,21,none,rent,1,skilled employee / official,1,none,yes,Good
less than 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,less than 100 DM,unemployed,4,male : single,none,1,"car or other, not in attribute 6",25,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,Bad
no checking account,12,existing credits paid back duly till now,business,1542,less than 100 DM,between 4 to 7 years,2,male : single,none,4,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,18,critical account/other credits existing (not at this bank),car (used),3850,less than 100 DM,between 4 to 7 years,3,male : single,none,1,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,Good
less than 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,less than 100 DM,less than 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes,Good
less than 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,less than 100 DM,more than 7 years,4,male : single,none,2,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,2,none,yes,Bad
between 0 to 200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,less than 100 DM,between 4 to 7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee / official,1,none,yes,Good
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,between 1 to 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,18,critical account/other credits existing (not at this bank),radio/television,6070,less than 100 DM,more than 7 years,3,male : single,none,4,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,10,critical account/other credits existing (not at this bank),furniture/equipment,2146,less than 100 DM,less than 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee / official,1,none,yes,Good
no checking account,60,critical account/other credits existing (not at this bank),car (new),13756,unknown/ no savings account,more than 7 years,2,male : single,none,4,unknown / no property,63,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,60,all credits at this bank paid back duly,car (used),14782,between 100 to 500 DM,more than 7 years,3,female : divorced/separated/married,none,4,unknown / no property,60,bank,for free,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,48,all credits at this bank paid back duly,business,7685,less than 100 DM,between 4 to 7 years,2,female : divorced/separated/married,gaurantor,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,none,yes,Bad
